<<<<<<< HEAD
OrderID,Date,Customer,Product,Region,Quantity,Price,Total Sales
1001,2026-01-01,Asha,Laptop,Chennai,1,50000,50000
1002,2026-01-02,Ravi,Mouse,Chennai,2,500,1000
1003,2026-01-03,Kiran,Keyboard,Madurai,1,1500,1500
1004,2026-01-04,Meena,Phone,Chennai,1,20000,20000
1005,2026-01-05,Arjun,Laptop,Vellore,1,55000,55000
1006,2026-01-06,Divya,Headphones,Salem,2,2000,4000
1007,2026-01-07,Kavin,Monitor,Chennai,1,12000,12000
1008,2026-01-08,Nila,Mouse,Trichy,3,500,1500
1009,2026-01-09,Rahul,Keyboard,Erode,2,1500,3000
1010,2026-01-10,Laksh,Phone,Chennai,1,22000,22000
1011,2026-01-11,Porkodi,Laptop,Chennai,1,52000,52000
1012,2026-01-12,Anitha,Monitor,Madurai,1,12500,12500
1013,2026-01-13,Arjun,Mouse,Vellore,4,500,2000
1014,2026-01-14,Meena,Headphones,Salem,1,2000,2000
=======
OrderID,Date,Customer,Product,Region,Quantity,Price,Total Sales
1001,2026-01-01,Asha,Laptop,Chennai,1,50000,50000
1002,2026-01-02,Ravi,Mouse,Chennai,2,500,1000
1003,2026-01-03,Kiran,Keyboard,Madurai,1,1500,1500
1004,2026-01-04,Meena,Phone,Chennai,1,20000,20000
1005,2026-01-05,Arjun,Laptop,Vellore,1,55000,55000
1006,2026-01-06,Divya,Headphones,Salem,2,2000,4000
1007,2026-01-07,Kavin,Monitor,Chennai,1,12000,12000
1008,2026-01-08,Nila,Mouse,Trichy,3,500,1500
1009,2026-01-09,Rahul,Keyboard,Erode,2,1500,3000
1010,2026-01-10,Laksh,Phone,Chennai,1,22000,22000
1011,2026-01-11,Porkodi,Laptop,Chennai,1,52000,52000
1012,2026-01-12,Anitha,Monitor,Madurai,1,12500,12500
1013,2026-01-13,Arjun,Mouse,Vellore,4,500,2000
1014,2026-01-14,Meena,Headphones,Salem,1,2000,2000
>>>>>>> 18ae3b1 (Task 8 completed)
1015,2026-01-15,Ravi,Phone,Chennai,1,21000,21000
